id,messageId,message,recipientId
1,a,"[
  {
    ""id"": 1,
    ""aNummer"": ""1"",
    ""volgnummer"": 1,
    ""recipient"": [
      {
        ""recipientId"": ""A""
      }
    ],
    ""persoon"": [
      {
        ""bsn"": ""402-12-1480"",
        ""naam"": ""Wout van Hagen"",
        ""geboortePlaats"": ""Kampala"",
        ""geboorteLand"": ""Nederland"",
        ""geboorteDatum"": ""1955-10-25"",
        ""geslachtsaanduiding"": ""M"",
        ""telefoon"": ""+31(0)511 701476""
      }
    ],
    ""nationaliteit"": [
      {
        ""nationaliteit1"": ""Nederlandse"",
        ""nationaliteit2"": ""Ugandese""
      }
    ],
    ""verblijfplaats"": [
      {
        ""huidigeAdres"": [
          {
            ""huidigePostcode"": ""9138LC"",
            ""huidigeHuisnummer"": 988,
            ""huidigeWoonplaats"": ""Maastricht"",
            ""huidigeAdresGeldig"": ""1962-06-06""
          }
        ],
        ""vorigeAdres"": [
          {
            ""vorigePostcode"": ""6995BM"",
            ""vorigeHuisnummer"": 337,
            ""vorigeWoonplaats"": ""Groningen"",
            ""vorigeAdresGeldig"": ""1976-07-10""
          }
        ]
      }
    ]
  }
]",B
2,b,"[
  {
    ""id"": 10,
    ""aNummer"": ""10"",
    ""volgnummer"": 1,
    ""recipient"": [
      {
        ""recipientId"": ""B""
      }
    ],
    ""persoon"": [
      {
        ""bsn"": ""981-67-1726"",
        ""naam"": ""Selena van Susa"",
        ""geboortePlaats"": ""Buenos Aires"",
        ""geboorteLand"": ""Duitsland"",
        ""geboorteDatum"": ""1987-08-12"",
        ""geslachtsaanduiding"": ""V"",
        ""telefoon"": ""+31333-080030""
      }
    ],
    ""nationaliteit"": [
      {
        ""nationaliteit1"": ""Argentijnse""
      }
    ],
    ""verblijfplaats"": [
      {
        ""huidigeAdres"": [
          {
            ""huidigePostcode"": ""6556BS"",
            ""huidigeHuisnummer"": 247,
            ""huidigeWoonplaats"": ""Maastricht"",
            ""huidigeAdresGeldig"": ""1993-03-24""
          }
        ],
        ""vorigeAdres"": [
          {
            ""vorigePostcode"": ""1459JO"",
            ""vorigeHuisnummer"": 281,
            ""vorigeWoonplaats"": ""Apeldoorn"",
            ""vorigeAdresGeldig"": ""1956-01-08""
          }
        ]
      }
    ]
  }
]",A
3,c,"[
  {
    ""id"": 2,
    ""aNummer"": ""2"",
    ""volgnummer"": 1,
    ""recipient"": [
      {
        ""recipientId"": ""A""
      }
    ],
    ""persoon"": [
      {
        ""bsn"": ""123-50-8325"",
        ""naam"": ""Alexander Linschoten"",
        ""geboortePlaats"": ""Kampala"",
        ""geboorteLand"": ""Italië"",
        ""geboorteDatum"": ""1989-09-21"",
        ""geslachtsaanduiding"": ""V"",
        ""telefoon"": ""(043) 8369145""
      }
    ],
    ""nationaliteit"": [
      {
        ""nationaliteit1"": ""Nederlandse""
      }
    ],
    ""verblijfplaats"": [
      {
        ""huidigeAdres"": [
          {
            ""huidigePostcode"": ""7596GA"",
            ""huidigeHuisnummer"": 594,
            ""huidigeWoonplaats"": ""Losser"",
            ""huidigeAdresGeldig"": ""1988-02-02""
          }
        ],
        ""vorigeAdres"": [
          {
            ""vorigePostcode"": ""9496PF"",
            ""vorigeHuisnummer"": 367,
            ""vorigeWoonplaats"": ""Apeldoorn"",
            ""vorigeAdresGeldig"": ""1985-02-19""
          }
        ]
      }
    ]
  }
]",B
4,d,"[
  {
    ""id"": 3,
    ""aNummer"": ""3"",
    ""volgnummer"": 1,
    ""recipient"": [
      {
        ""recipientId"": ""A""
      }
    ],
    ""persoon"": [
      {
        ""bsn"": ""938-98-9490"",
        ""naam"": ""Kick van Wijland"",
        ""geboortePlaats"": ""Kampala"",
        ""geboorteLand"": ""Uganda"",
        ""geboorteDatum"": ""1924-06-17"",
        ""geslachtsaanduiding"": ""M"",
        ""telefoon"": ""+31508 848976""
      }
    ],
    ""nationaliteit"": [
      {
        ""nationaliteit1"": ""Nederlandse"",
        ""nationaliteit2"": ""Griekse""
      }
    ],
    ""verblijfplaats"": [
      {
        ""huidigeAdres"": [
          {
            ""huidigePostcode"": ""3594LO"",
            ""huidigeHuisnummer"": 409,
            ""huidigeWoonplaats"": ""Lisse"",
            ""huidigeAdresGeldig"": ""2007-01-11""
          }
        ],
        ""vorigeAdres"": [
          {
            ""vorigePostcode"": ""8344NA"",
            ""vorigeHuisnummer"": 904,
            ""vorigeWoonplaats"": ""Apeldoorn"",
            ""vorigeAdresGeldig"": ""1943-03-05""
          }
        ]
      }
    ]
  }
]",A
5,e,"[
  {
    ""id"": 4,
    ""aNummer"": ""4"",
    ""volgnummer"": 1,
    ""recipient"": [
      {
        ""recipientId"": ""A""
      }
    ],
    ""persoon"": [
      {
        ""bsn"": ""455-36-3453"",
        ""naam"": ""Lizz de Bruin"",
        ""geboortePlaats"": ""Enschede"",
        ""geboorteLand"": ""Argentinië"",
        ""geboorteDatum"": ""1981-05-04"",
        ""geslachtsaanduiding"": ""V"",
        ""telefoon"": ""+31(0)04 8699970""
      }
    ],
    ""nationaliteit"": [
      {
        ""nationaliteit1"": ""Japanse"",
        ""nationaliteit2"": ""Indiaase""
      }
    ],
    ""verblijfplaats"": [
      {
        ""huidigeAdres"": [
          {
            ""huidigePostcode"": ""9655ET"",
            ""huidigeHuisnummer"": 620,
            ""huidigeWoonplaats"": ""Valkenburg"",
            ""huidigeAdresGeldig"": ""1931-01-17""
          }
        ],
        ""vorigeAdres"": [
          {
            ""vorigePostcode"": ""6599YK"",
            ""vorigeHuisnummer"": 100,
            ""vorigeWoonplaats"": ""Groningen"",
            ""vorigeAdresGeldig"": ""1943-06-09""
          }
        ]
      }
    ]
  }
]",B
6,f,"[
  {
    ""id"": 5,
    ""aNummer"": ""5"",
    ""volgnummer"": 1,
    ""recipient"": [
      {
        ""recipientId"": ""B""
      }
    ],
    ""persoon"": [
      {
        ""bsn"": ""700-45-8788"",
        ""naam"": ""Jayda Voortman"",
        ""geboortePlaats"": ""Rotterdam"",
        ""geboorteLand"": ""Nederland"",
        ""geboorteDatum"": ""1957-04-16"",
        ""geslachtsaanduiding"": ""M"",
        ""telefoon"": ""+31882-057405""
      }
    ],
    ""nationaliteit"": [
      {
        ""nationaliteit1"": ""Argentijnse""
      }
    ],
    ""verblijfplaats"": [
      {
        ""huidigeAdres"": [
          {
            ""huidigePostcode"": ""3924RK"",
            ""huidigeHuisnummer"": 202,
            ""huidigeWoonplaats"": ""Utrecht"",
            ""huidigeAdresGeldig"": ""1941-10-19""
          }
        ],
        ""vorigeAdres"": [
          {
            ""vorigePostcode"": ""5638OM"",
            ""vorigeHuisnummer"": 710,
            ""vorigeWoonplaats"": ""Otterlo"",
            ""vorigeAdresGeldig"": ""1993-02-21""
          }
        ]
      }
    ]
  }
]",B
7,g,"[
  {
    ""id"": 6,
    ""aNummer"": ""6"",
    ""volgnummer"": 1,
    ""recipient"": [
      {
        ""recipientId"": ""B""
      }
    ],
    ""persoon"": [
      {
        ""bsn"": ""264-14-6467"",
        ""naam"": ""Dani Rackham"",
        ""geboortePlaats"": ""Athene"",
        ""geboorteLand"": ""Uganda"",
        ""geboorteDatum"": ""1985-12-18"",
        ""geslachtsaanduiding"": ""M"",
        ""telefoon"": ""0115 555319""
      }
    ],
    ""nationaliteit"": [
      {
        ""nationaliteit1"": ""Deense"",
        ""nationaliteit2"": ""Ugandese""
      }
    ],
    ""verblijfplaats"": [
      {
        ""huidigeAdres"": [
          {
            ""huidigePostcode"": ""5831GI"",
            ""huidigeHuisnummer"": 73,
            ""huidigeWoonplaats"": ""Utrecht"",
            ""huidigeAdresGeldig"": ""1915-01-09""
          }
        ],
        ""vorigeAdres"": [
          {
            ""vorigePostcode"": ""1527QZ"",
            ""vorigeHuisnummer"": 458,
            ""vorigeWoonplaats"": ""Leiden"",
            ""vorigeAdresGeldig"": ""1920-10-14""
          }
        ]
      }
    ]
  }
]",B
8,h,"[
  {
    ""id"": 7,
    ""aNummer"": ""7"",
    ""volgnummer"": 1,
    ""recipient"": [
      {
        ""recipientId"": ""B""
      }
    ],
    ""persoon"": [
      {
        ""bsn"": ""721-93-7340"",
        ""naam"": ""Owen Cadefau"",
        ""geboortePlaats"": ""Kampala"",
        ""geboorteLand"": ""Griekenland"",
        ""geboorteDatum"": ""1983-07-25"",
        ""geslachtsaanduiding"": ""M"",
        ""telefoon"": ""(0980) 177181""
      }
    ],
    ""nationaliteit"": [
      {
        ""nationaliteit1"": ""Deense"",
        ""nationaliteit2"": ""Braziliaanse""
      }
    ],
    ""verblijfplaats"": [
      {
        ""huidigeAdres"": [
          {
            ""huidigePostcode"": ""4221MV"",
            ""huidigeHuisnummer"": 659,
            ""huidigeWoonplaats"": ""Oldenzaal"",
            ""huidigeAdresGeldig"": ""1987-10-22""
          }
        ],
        ""vorigeAdres"": [
          {
            ""vorigePostcode"": ""9417FZ"",
            ""vorigeHuisnummer"": 603,
            ""vorigeWoonplaats"": ""Apeldoorn"",
            ""vorigeAdresGeldig"": ""1963-07-21""
          }
        ]
      }
    ]
  }
]",B
9,i,"[
  {
    ""id"": 8,
    ""aNummer"": ""8"",
    ""volgnummer"": 1,
    ""recipient"": [
      {
        ""recipientId"": ""B""
      }
    ],
    ""persoon"": [
      {
        ""bsn"": ""631-43-3273"",
        ""naam"": ""Jurre van Spreuwel-Brandon"",
        ""geboortePlaats"": ""Franeker"",
        ""geboorteLand"": ""Uganda"",
        ""geboorteDatum"": ""1933-08-15"",
        ""geslachtsaanduiding"": ""M"",
        ""telefoon"": ""+3119-8549004""
      }
    ],
    ""nationaliteit"": [
      {
        ""nationaliteit1"": ""Deense""
      }
    ],
    ""verblijfplaats"": [
      {
        ""huidigeAdres"": [
          {
            ""huidigePostcode"": ""6744ZJ"",
            ""huidigeHuisnummer"": 335,
            ""huidigeWoonplaats"": ""Den Haag"",
            ""huidigeAdresGeldig"": ""1929-09-24""
          }
        ],
        ""vorigeAdres"": [
          {
            ""vorigePostcode"": ""1287WJ"",
            ""vorigeHuisnummer"": 212,
            ""vorigeWoonplaats"": ""Otterlo"",
            ""vorigeAdresGeldig"": ""1986-04-11""
          }
        ]
      }
    ]
  }
]",A
10,j,"[
  {
    ""id"": 9,
    ""aNummer"": ""9"",
    ""volgnummer"": 1,
    ""recipient"": [
      {
        ""recipientId"": ""A""
      }
    ],
    ""persoon"": [
      {
        ""bsn"": ""509-12-3551"",
        ""naam"": ""Amir Wilson-Appelman"",
        ""geboortePlaats"": ""Kampala"",
        ""geboorteLand"": ""Uganda"",
        ""geboorteDatum"": ""1958-11-27"",
        ""geslachtsaanduiding"": ""M"",
        ""telefoon"": ""+31904 259390""
      }
    ],
    ""nationaliteit"": [
      {
        ""nationaliteit1"": ""Deense""
      }
    ],
    ""verblijfplaats"": [
      {
        ""huidigeAdres"": [
          {
            ""huidigePostcode"": ""9786VG"",
            ""huidigeHuisnummer"": 46,
            ""huidigeWoonplaats"": ""Utrecht"",
            ""huidigeAdresGeldig"": ""1924-07-01""
          }
        ],
        ""vorigeAdres"": [
          {
            ""vorigePostcode"": ""6746SM"",
            ""vorigeHuisnummer"": 504,
            ""vorigeWoonplaats"": ""Leiden"",
            ""vorigeAdresGeldig"": ""1917-12-27""
          }
        ]
      }
    ]
  }
]",A
